Name,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,
Pipe Dreams 3D,2001,Puzzle,0.14,,,E,
Skylanders Giants,2012,Action,0.14,59,5,E10+,
Spider-Man: Friend or Foe,2007,Action,0.14,59,8,E10+,
Fox Sports Golf '99,1997,Sports,0.14,,,,
Power Rangers: Super Legends,2007,Action,0.14,,3,E10+,
Jurassic: The Hunted,2009,Shooter,0.14,,,T,
Sakura Wars GB,2000,Adventure,0.14,,,,
Shining Force CD,1994,Strategy,0.14,,,,
Fatal Frame,2001,Action,0.14,74,8.9,T,
Rayman 3,2003,Platform,0.14,83,7.8,E,
The Fifth Element,1998,Action,0.14,,,,
BlazBlue: Chrono Phantasma Extend,2015,Action,0.14,80,7.7,T,
Okaeri! Chibi-Robo! Happy Richie Oosouji,2009,Adventure,0.14,,,,
Wild ARMs 4,2005,Role-Playing,0.14,69,7.3,T,
Ratatouille,2007,Action,0.14,60,5.6,E,
G.I. Joe: The Rise of Cobra,2009,Action,0.14,50,2.3,T,
Casper: Spirit Dimensions,2001,Platform,0.14,58,3.5,E,
Super Robot Taisen OG Saga: Endless Frontier (JP sales),2008,Role-Playing,0.14,,,,
Sengoku Musou 3 Empires,2011,Action,0.14,,,,
Thunder Truck Rally,1997,Racing,0.14,,,,
Klonoa: Empire of Dreams,2001,Platform,0.14,,,,
SafeCracker: The Ultimate Puzzle Adventure,2009,Puzzle,0.14,43,,E,
Geometry Wars: Galaxies,2007,Shooter,0.14,79,7.9,E,
Famista Returns,2015,Sports,0.14,,,,
Syndicate,2012,Shooter,0.14,75,6.5,M,
Adrenalin Misfits,2010,Racing,0.14,50,,E,
Karaoke Revolution Glee: Volume 3,2011,Misc,0.14,,,T,
Cave Story 3D,2011,Platform,0.14,82,7.7,E10+,
Iron & Blood,1996,Fighting,0.14,,,,
Mega Man Powered Up,2006,Platform,0.14,82,7.5,E,
Balloon Pop,2009,Puzzle,0.14,,,E,
Class of Heroes,2008,Role-Playing,0.14,61,7.1,T,
Second Sight,2004,Adventure,0.14,76,8,T,
Heroes of Mana,2007,Strategy,0.14,66,,E10+,
Alien: Isolation,2014,Shooter,0.14,81,8.4,M,
G.I. Joe: The Rise of Cobra,2009,Action,0.14,,,T,
Just Cause 3,2015,Action,0.14,74,5.3,M,
Monster House,2006,Adventure,0.14,59,,E10+,
Phantom Brave,2004,Role-Playing,0.14,81,7.9,T,
Thor: God of Thunder,2011,Action,0.14,38,5.7,T,
Championship Motocross 2001 featuring Ricky Carmichael,2001,Racing,0.14,70,,T,
Kenka Banchou 5: Otoko no Housoku,2011,Action,0.14,,,,
Bejeweled 3,N/A,Puzzle,0.14,76,8.2,E,
Doshin the Giant,2002,Simulation,0.14,,,,
Star Ocean: Blue Sphere,2001,Role-Playing,0.14,,,,
Shrek 2 and Shark Tale 2-in-1 Pack,2005,Misc,0.14,,,,
Mojo!,2003,Puzzle,0.14,,,,
Kamen Rider Ryuki,2002,Action,0.14,,,,
Front Mission Alternative,1997,Strategy,0.14,,,,
World Championship Poker: Howard Lederer - All In,2006,Misc,0.14,,,,
FIFA Soccer 2005,2004,Sports,0.14,78,8.5,E,
Harvest Moon: Hero of Leaf Valley,2009,Simulation,0.14,74,7.9,E,
Diner Dash: Flo on the Go,2009,Puzzle,0.14,,,E,
Hexyz Force,2009,Role-Playing,0.14,68,7.3,T,
Power Stone,1998,Fighting,0.14,,,,
Jonny Moseley Mad Trix,2001,Sports,0.14,44,5.7,T,
Uta no * Prince-Sama: Repeat,2011,Adventure,0.14,,,,
Senran Kagura Burst: Guren no Sh?jo-tachi,2012,Action,0.14,,,,
MTV Music Generator 3: This Is the Remix,2004,Misc,0.14,79,8.6,T,
Cake Mania 3,2009,Simulation,0.14,,,E,
Zetta Hero Project: Unlosing Ranger vs. Darkdeath Evilman,2010,Role-Playing,0.14,,,,
Gundam Breaker 2,2014,Action,0.14,,,,
.hack//Link,2010,Role-Playing,0.14,,,,
Terminator 3: Rise of the Machines,2003,Action,0.14,35,2,T,
SSX On Tour,2005,Sports,0.14,81,8.1,E,
NCAA College Basketball 2K3,2002,Sports,0.14,84,8.4,E,
Victorious Boxers: Revolution,2007,Fighting,0.14,59,5.4,T,
Farming Simulator 2013,2013,Simulation,0.14,40,2.9,E,
The Legend of Heroes II: Prophecy of the Moonlight Witch,2004,Role-Playing,0.14,63,6.9,E10+,
Doom,2001,Shooter,0.14,81,8.5,T,
Hidden Mysteries: Salem Secrets - Witch Trials of 1692,2010,Puzzle,0.14,,,,
Mary-Kate and Ashley: Winners Circle,2001,Action,0.14,,,,
Jewel Quest Solitaire,2009,Puzzle,0.14,,,,
PaRappa The Rapper 2,2001,Misc,0.14,67,6.6,E,
OutRun 2,2004,Racing,0.14,,,,
Okami,2012,Action,0.14,,,,
Marvel vs. Capcom 2: New Age of Heroes,2000,Fighting,0.14,,,,
Super Dodgeball Brawlers,2008,Sports,0.14,65,,E,
NFL Head Coach 09,2008,Sports,0.14,64,7.1,E,
Hitman: Blood Money,2006,Action,0.14,81,9.1,M,
Soukaigi,1998,Role-Playing,0.14,,,,
PANGYA: Fantasy Golf,2009,Sports,0.14,77,7,E10+,
Fast Food Panic,2010,Simulation,0.14,,,E,
Pipe Mania,2008,Puzzle,0.14,68,,E,
Xevious 3D/G+,1997,Shooter,0.14,,,,
Metal Gear Solid V: Ground Zeroes,2014,Action,0.14,,5.7,M,
Gretzky NHL 06,2005,Sports,0.14,65,6.8,E10+,
Shonen Jump's Shaman King: Master of Spirits,2004,Role-Playing,0.14,,,,
Kid Adventures: Sky Captain,2010,Action,0.14,,,E,
NFL Blitz 20-03,2002,Sports,0.14,72,7.8,E,
PaRappa The Rapper,2006,Misc,0.14,67,5.2,E,
Pirates: The Legend of Black Kat,2002,Adventure,0.14,72,7.9,T,
Fur Fighters: Viggo's Revenge,2001,Action,0.14,64,7.3,T,
Thor: God of Thunder,2011,Action,0.14,39,4.4,T,
Krull,1982,Action,0.14,,,,
The Walking Dead: Season One,2013,Adventure,0.14,,,,
Yu-Gi-Oh! Monster Capture GB,2000,Role-Playing,0.14,,,,
Zapper: One Wicked Cricket!,2002,Platform,0.14,,,,
Skylanders Imaginators,2016,Platform,0.14,80,5.5,E10+,
"NewU Fitness First Mind Body, Yoga & Pilates Workout",2010,Sports,0.14,,,,
The Da Vinci Code,2006,Action,0.14,54,8,T,
Scooby-Doo! Night of 100 Frights,2003,Platform,0.14,,,,
Naruto Shippuden: Ninja Destiny 3,2006,Fighting,0.14,,,,
Ford Racing Off Road,2008,Racing,0.14,47,,E,
Chicken Shoot,2007,Action,0.14,19,3.1,E10+,
Dead to Rights,2002,Shooter,0.14,77,8.7,M,
Scarface: The World is Yours,2007,Action,0.14,71,8.4,M,
Top Spin 4,2011,Sports,0.14,54,7.4,E,
Sphinx and the Cursed Mummy,2003,Action,0.14,79,8.8,T,
Disney's Planes,2013,Simulation,0.14,,,E,
MX vs. ATV Reflex,2009,Racing,0.14,,,E,
Hero's Saga Laevatein Tactics,2008,Role-Playing,0.14,62,,T,
Cabela's Outdoor Adventures (2009),2009,Sports,0.14,,6.6,T,
Cranium Kabookii,2007,Misc,0.14,64,5.4,E,
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,1998,Adventure,0.14,,,,
Active Life Explorer,2010,Sports,0.14,,,E,
XCOM 2,2016,Strategy,0.14,88,8,T,
Naruto RPG 2: Chidori vs Rasengan,2005,Role-Playing,0.14,,,,
Our House Party!,N/A,Simulation,0.14,,,,
Pro Evolution Soccer 2015,2014,Sports,0.14,79,7.3,E,
Project V6,1998,Strategy,0.14,,,,
Destruction Derby Raw,2000,Racing,0.14,69,7.3,E,
Risen 2: Dark Waters,2012,Role-Playing,0.14,60,6,M,
World Tour Soccer 2003,2002,Sports,0.14,78,8.3,E,
Akiba's Trip,2011,Adventure,0.14,,,,
Arctic Tale,2007,Adventure,0.14,38,,E,
Bravo Air Race,1997,Racing,0.14,,,,
Onimusha Essentials,2008,Action,0.14,,,M,
Gundam: The Battle Master,1997,Fighting,0.14,,,,
Ben 10 Galactic Racing,2011,Racing,0.14,,,E,
ArmA II,2009,Shooter,0.14,77,7.5,M,
WWE 2K17,2016,Sports,0.14,,4.1,T,
Spyro: A Hero's Tail,2004,Platform,0.14,64,9.1,E,
¡Shin Chan Flipa en colores!,2007,Platform,0.14,,,,
Cities: Skylines,2015,Simulation,0.14,85,8.9,E,
Drawn to Life Collection,2010,Misc,0.14,,,E,
Eternal Poison,2008,Role-Playing,0.14,65,8.2,T,
Gretzky NHL 06,2005,Sports,0.14,62,,E10+,
Gungrave: Overdose,2004,Shooter,0.14,68,8.7,M,
Metal Slug Anthology,2006,Shooter,0.14,73,8,T,
Kidou Senshi Gundam: Shin Gihren no Yabou,2011,Strategy,0.14,,,,
The Orange Box,2007,Shooter,0.14,96,9.3,M,
Shovel Knight,2015,Platform,0.14,90,8.2,E,
Pro Evolution Soccer 2015,2014,Sports,0.14,,6.8,E,
NBA ShootOut 2002,2001,Sports,0.14,53,,E,
The Granstream Saga,1997,Role-Playing,0.14,,,,
Power Gig: Rise of the SixString,2010,Misc,0.14,36,0.5,T,
Mr. Driller: Drill Spirits,2004,Puzzle,0.14,70,8.9,E,
Bio FREAKS,1998,Action,0.14,,,,
Bassmasters 2000,1999,Sports,0.14,,,,
WCW Backstage Assault,N/A,Action,0.14,,,,
Micro Machines 64 Turbo,1999,Racing,0.14,,,,
Baldur's Gate: Dark Alliance,2002,Role-Playing,0.14,79,7.7,T,
"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",2007,Role-Playing,0.14,,,,
Eternal Eyes,1999,Role-Playing,0.14,,,,
The Walking Dead: Season Two,2014,Adventure,0.14,,,,
Dream Pinball 3D,2008,Misc,0.14,54,7.6,E10+,
Fate/Unlimited Codes,2008,Fighting,0.14,,,,
Star Wars: Knights of the Old Republic,2003,Role-Playing,0.14,93,9,T,
The Operative: No One Lives Forever,2002,Shooter,0.14,67,8,T,
Gallop & Ride!,2008,Sports,0.14,,,,
Epidemic,1995,Shooter,0.14,,,,
Monster House,2006,Adventure,0.14,60,,E10+,
Backyard Sports: Sandlot Sluggers,2010,Sports,0.14,,,E,
Dead or Alive 2,2000,Fighting,0.14,,,,
Buck Fever,2009,Sports,0.14,,,T,
Monster Hunter Diary: Poka Poka Airou Village DX,2015,Action,0.14,,,,
Cabela's African Safari,2006,Sports,0.14,53,5,T,
NCAA Basketball Final Four 97,1997,Sports,0.14,,,,
Ecco the Dolphin: Defender of the Future,2002,Adventure,0.14,71,8.5,E,
Atari's Greatest Hits: Volume 1,2010,Misc,0.14,,,,
The Bombing Islands,1997,Platform,0.14,,,,
Yogi Bear: The Video Game,2010,Action,0.14,,,,
Earth Defense Force 2: Invaders from Planet Space,2011,Action,0.14,,,,
Just Cause,2006,Action,0.14,73,7.2,M,
Hot Wheels: Beat That!,2007,Racing,0.14,,5.3,E,
X-Blades,2009,Action,0.14,50,5.4,M,
Odin Sphere: Leifthrasir,2016,Role-Playing,0.14,93,7.9,T,
Homefront: The Revolution,2016,Shooter,0.14,49,4.1,M,
Gyakuten Saiban 2,2002,Action,0.14,,,,
Godzilla: Save the Earth,2004,Fighting,0.14,63,8.2,T,
Micro Machines,2002,Racing,0.14,54,,E,
TRINITY: Souls of Zill O'll,2010,Role-Playing,0.14,55,6.2,T,
Detective Barbie: The Mystery Cruise,1999,Adventure,0.14,,,,
Jim Henson's the Muppets: On With the Show!,2003,Action,0.14,,,,
Desire,1997,Adventure,0.14,,,,
Asphalt: Urban GT 2,2006,Racing,0.14,,6.9,E10+,
Pro Yaky? Spirits 2014,2014,Sports,0.14,,,,
Virtua Tennis 4,2011,Sports,0.14,65,7.5,E,
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,2005,Platform,0.14,71,5.5,E10+,
Frank Thomas Big Hurt Baseball,1996,Sports,0.14,,,,
Power Pro Kun Pocket 8,2005,Sports,0.14,,,,
Enclave,2002,Adventure,0.14,66,8.4,M,
Sid Meier's Pirates!,2005,Strategy,0.14,,,,
Wild ARMs XF,2007,Role-Playing,0.14,64,6.6,E10+,
Bottom of the 9th,1996,Sports,0.14,,,,
7 Days to Die,2016,Action,0.14,45,5.9,M,
Rayman Legends,2014,Platform,0.14,87,8.4,E10+,
Dino Crisis 3,2003,Action,0.14,51,4.1,M,
NFL Blitz 20-03,2002,Sports,0.14,72,,E,
The King of Fighters '94 (CD),1993,Fighting,0.14,,,,
Horse Life Adventures,2008,Simulation,0.14,,,E,
College Hoops 2K8,2007,Sports,0.14,82,5.2,E,
Risen,2009,Role-Playing,0.14,77,8.1,M,
Barbie Explorer,2001,Platform,0.14,,,,
Disney's Chicken Little,2005,Platform,0.14,68,,E10+,
Transformers: Devastation,2015,Action,0.14,75,7.9,T,
The Darkness II,2012,Shooter,0.14,77,7.6,M,
Age of Empires: Collector's Edition,2000,Strategy,0.14,,8,T,
Agile Warrior F-111X,1995,Simulation,0.14,,,,
Jikkyou Powerful Pro Yakyuu Wii,2007,Sports,0.14,,,,
Eragon,2006,Action,0.14,48,5.7,T,
Dynasty Warriors 7: Empires,2012,Action,0.14,63,8,T,
Super Puzzle Fighter II Turbo,1996,Puzzle,0.14,83,7.4,E,
Star Wars: Jedi Power Battles,2002,Action,0.14,58,,T,
Scene It? Bright Lights! Big Screen!,2009,Misc,0.14,,,,
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,2002,Fighting,0.14,,,,
Bejeweled 3,N/A,Puzzle,0.14,78,8.4,E,
Space Venus starring Morning Musume,2001,Misc,0.14,,,,
To Heart,1999,Adventure,0.14,,,,
Let's Cheer,2011,Misc,0.14,,,,
RockMan & Forte,1998,Platform,0.14,,,,
Doukyuusei,1995,Adventure,0.14,,,,
Dead Island Definitive Collection,2016,Action,0.14,63,6.4,M,
Dragon Age: Origins - Ultimate Edition,2010,Role-Playing,0.14,,,,
MySims Collection,2010,Misc,0.14,,,E,
Master Jin Jin's IQ Challenge,2006,Misc,0.14,38,,E,
Blazing Angels 2: Secret Missions of WWII,2007,Simulation,0.14,72,7.8,T,
The History Channel: Civil War - A Nation Divided,2006,Shooter,0.14,,,,
Rayman Arena,2002,Racing,0.14,60,7.2,E,
FIFA 06 Soccer,2005,Sports,0.14,,,,
DmC: Devil May Cry,2015,Action,0.14,,,,
How to Train Your Dragon,2010,Action,0.14,58,7.6,E10+,
Farming Simulator 2012,2012,Action,0.14,,,,
4x4 EVO 2,2002,Racing,0.14,56,,E,
Pro Yakyuu Netsu Star 2006,2006,Sports,0.14,,,,
Battlefield: Hardline,2015,Shooter,0.14,71,3.8,M,
Cyber Sled,1995,Action,0.14,,,,
Puyo Puyo!! 20th Anniversary,2011,Puzzle,0.14,,,,
Shining Soul,2002,Role-Playing,0.14,58,8.5,E,
Brothers: A Tale of Two Sons,2015,Adventure,0.14,81,8.6,T,
Monster Lab,2008,Role-Playing,0.14,75,,E10+,
In the Hunt,1995,Shooter,0.14,,,,
Daytona USA Championship Circuit Edition,1995,Racing,0.14,,,,
Marvel vs. Capcom 2: New Age of Heroes,2002,Fighting,0.14,,,,
SNK vs. Capcom: The Match of the Millennium,2006,Fighting,0.14,,,,
Dead Rising 2,2010,Action,0.14,78,6.3,M,
Paws & Claws: Pet Vet 2,2007,Simulation,0.14,,,,
Ape Escape Academy (jp sales),2004,Misc,0.14,,,,
Fear Factor: Unleashed,2004,Action,0.14,30,3,T,
Hard Rock Casino,2007,Misc,0.14,44,,T,
Robots,2005,Action,0.14,,6.7,E,
Houshinengi,1998,Strategy,0.14,,,,
7th Dragon,2009,Role-Playing,0.14,,,,
Bust-A-Move Deluxe,2006,Puzzle,0.14,67,,E,
Murdered: Soul Suspect,2014,Action,0.14,,7.1,M,
Pet Pals: Animal Doctor,2008,Simulation,0.14,,,E10+,
LEGO Island Xtreme Stunts,2002,Racing,0.14,,,,
Shining Resonance,2014,Role-Playing,0.14,,,,
Heroes over Europe,2009,Simulation,0.14,62,8.1,T,
Alvin and the Chipmunks,2007,Misc,0.14,,,E,
Create,2010,Action,0.14,60,5.8,E,
World Soccer Winning Eleven 9 Bonus Pack,2006,Sports,0.14,,,,
UEFA Euro 2004: Portugal,2004,Sports,0.14,76,6.4,E,
Happy Feet,2006,Action,0.14,46,6.7,E,
Hot Wheels: World Race,2003,Racing,0.14,,6.2,E,
Major League Baseball 2K8,2008,Sports,0.14,,,,
Lips: I Love The 80s,2010,Misc,0.14,,,,
NBA Jam,2003,Sports,0.14,68,9.1,E,
World Tour Soccer 2002,2001,Sports,0.14,77,7.5,E,
NBA Ballers: Chosen One,2008,Sports,0.14,54,6.5,E,
Nicktoons: MLB,2011,Sports,0.14,,,E,
NCIS,2011,Adventure,0.14,35,4.7,T,
Travel Games For Dummies,2008,Misc,0.14,62,,E,
Interactive Sampler Disc 6,1997,Misc,0.14,,,,
Shinobido 2: Tales of the Ninja,2011,Action,0.14,,,,
Apex,2003,Racing,0.14,74,9.1,E,
Kamen Rider Battle: Ganbaride,2010,Strategy,0.14,,,,
Persona 4: Arena Ultimax,2014,Fighting,0.14,84,8.1,T,
Tomb Raider: The Prophecy,2002,Action,0.14,66,8.8,T,
Vampire Night,2001,Shooter,0.14,65,8,T,
Valhalla Knights: Eldar Saga,2009,Role-Playing,0.14,35,6.7,T,
Guilty Gear,1998,Fighting,0.14,,,,
Rio,2011,Misc,0.14,65,,E10+,
Scene It? Bright Lights! Big Screen!,2009,Misc,0.14,,,,
World Championship Poker 2: Featuring Howard Lederer,2005,Misc,0.14,65,2.8,T,
BIT.TRIP SAGA,2011,Misc,0.14,75,7.8,E,
Mary-Kate and Ashley: Crush Course,2001,Action,0.14,,,,
NHL Breakaway 98,1996,Sports,0.14,,,,
Where the Wild Things Are,2009,Platform,0.14,,,E,
Metal Slug 7,2008,Shooter,0.14,70,7.4,T,
Call of Duty: Infinite Warfare,2016,Shooter,0.14,73,3,M,
Disney's Cinderella: Magical Dreams,N/A,Platform,0.14,69,,E,
MotoGP '06,2006,Racing,0.14,80,7.7,E,
Tiger Woods PGA Tour 2005,2004,Sports,0.14,88,,E,
G.I. Joe: The Rise of Cobra,2009,Action,0.14,47,7.5,E10+,
Spider-Man: Edge of Time,2011,Action,0.14,50,,E10+,
Gourmet Chef: Cook Your Way to Fame,2008,Misc,0.14,,,E,
Fashion Studio: Paris Collection,2009,Misc,0.14,,,E,
Salt Lake 2002,2002,Sports,0.14,49,3.5,E,
ESPN MLB Baseball,2004,Sports,0.14,,,,
Gladius,2003,Strategy,0.14,79,8.5,T,
Legends of Wrestling,2002,Fighting,0.14,65,5.8,T,
Queen's Gate: Spiral Chaos,2011,Role-Playing,0.14,,,,
Nayuta no Kiseki,2012,Action,0.14,,,,
Magnetica,2006,Puzzle,0.14,68,8.1,E,
Red Orchestra 2: Heroes of Stalingrad,2011,Shooter,0.14,76,7.3,M,
Spy Hunter 2,2003,Racing,0.13,57,,T,
Open Season,2006,Platform,0.13,72,,E,
Avatar: The Last Airbender - The Burning Earth,2007,Action,0.13,,,,
LEGO The Lord of the Rings,2012,Action,0.13,,,E10+,
Backyard Soccer,2001,Sports,0.13,,,E,
Imagine: Fashion Stylist,2010,Simulation,0.13,,,E,
Final Fantasy XI: Rise of the Zilart,2003,Role-Playing,0.13,,,,
Your Shape: Fitness Evolved 2013,2012,Action,0.13,76,6.3,E10+,
Monster Jam,2007,Racing,0.13,,,E,
James Bond 007: Nightfire,2003,Shooter,0.13,66,8.1,T,
Let's Play Ballerina,2010,Sports,0.13,,,,
Nobunaga no Yabou: Tendou,2010,Strategy,0.13,,,,
Back At The Barnyard: Slop Bucket Games,2008,Sports,0.13,49,,E,
Medalot 7,2012,Action,0.13,,,,
Bio FREAKS,1998,Action,0.13,,,,
Little League World Series Baseball 2009,2009,Sports,0.13,,,E,
Castlevania Chronicles,2001,Platform,0.13,69,7,T,
Suzumiya Haruhi no Tomadoi,2008,Adventure,0.13,,,,
International Cricket 2010,2010,Sports,0.13,,,,
GoldenEye 007 (2010),2010,Action,0.13,,,,
Bratz,2002,Platform,0.13,,,E,
Pinball Hall of Fame: The Gottlieb Collection,2006,Misc,0.13,,,E,
King Arthur,2004,Action,0.13,59,8,T,
FIFA Street 2,2006,Sports,0.13,58,6.9,E,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,2005,Misc,0.13,,,,
The Guy Game,2004,Misc,0.13,48,6.7,M,
Rurouni Kenshin: Enjou! Kyoto Rinne,2006,Action,0.13,,,,
Blade II,2002,Action,0.13,53,4,M,
Rogue Warrior,2009,Shooter,0.13,27,2.8,M,
Suikoden: Tsumugareshi Hyakunen no Toki,2012,Role-Playing,0.13,,,,
Baseball Advance,2002,Sports,0.13,80,7.8,E,
Nicktoons: MLB,2011,Sports,0.13,,7.6,E,
Shonen Jump's One Piece: Grand Battle,2005,Fighting,0.13,,,,
Learn Math,2009,Puzzle,0.13,,,E,
Nitrobike,2008,Racing,0.13,49,7.1,E10+,
Cruise Ship Vacation Games,2009,Puzzle,0.13,,,E,
Pro Yaky? Spirits 6,2009,Sports,0.13,,,,
Paperboy / Rampage,2005,Misc,0.13,,,E,
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,2010,Role-Playing,0.13,,,,
Vampire Moon: The Mystery of the Hidden Sun,2010,Adventure,0.13,50,,E,
Sentou Kokka Air Land Battle,1995,Strategy,0.13,,,,
Quick Yoga Training,2008,Misc,0.13,,,E,
Attack on Titan (KOEI),2016,Action,0.13,,,,
NTRA Breeders' Cup World Thoroughbred Championships,2005,Simulation,0.13,,,,
Hulk Hogan's Main Event,2011,Fighting,0.13,26,2.2,T,
Tak 2: The Staff of Dreams,2004,Platform,0.13,73,,E,
Destroy All Humans! Big Willy Unleashed,2008,Action,0.13,,,,
Retro Atari Classics,2005,Misc,0.13,51,3.7,E,
Imagine: Fashion Designer,2011,Simulation,0.13,,,E,
Need for Speed Underground 2,2005,Racing,0.13,65,7,E,
My Spanish Coach,2008,Misc,0.13,,,E,
Ys: The Ark of Napishtim,2005,Role-Playing,0.13,72,8.8,T,
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016,Action,0.13,,,,
Dragon Age Origins: Awakening,2010,Role-Playing,0.13,,,,
Azure Dreams,1997,Role-Playing,0.13,,,,
Divinity II: The Dragon Knight Saga,2010,Role-Playing,0.13,72,7.8,M,
SingStar Latino,2007,Misc,0.13,,,T,
Kung Fu Panda 2,2011,Action,0.13,,,,
NHL 2K8,2007,Sports,0.13,71,7.4,E10+,
Pro Baseball Spirits 2015,2015,Action,0.13,,,,
Haunted House,2010,Action,0.13,41,,E10+,
Top Spin 3,2008,Action,0.13,65,,E,
Syberia,2008,Action,0.13,52,,T,
Kurt Warner's Arena Football Unleashed,2000,Sports,0.13,,,,
Puzzle Kingdoms,2009,Puzzle,0.13,64,6.3,E10+,
Hyperdimension Neptunia,2013,Role-Playing,0.13,,,,
Life is Strange,2016,Adventure,0.13,85,8.7,M,
Suite PreCure: Melody Collection,2011,Misc,0.13,,,,
NHL 2K9,2008,Sports,0.13,,6.7,E10+,
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,2008,Role-Playing,0.13,79,8.7,M,
Rogue Ops,2003,Action,0.13,63,,M,
NBA Hoopz,2001,Sports,0.13,,,E,
Transworld Surf,N/A,Sports,0.13,76,,T,
History Civil War: Secret Missions,2008,Shooter,0.13,,,,
MLB 11: The Show,2011,Sports,0.13,,6.2,E,
Castrol Honda Superbike Racing,1998,Racing,0.13,,,,
X-Blades,2009,Action,0.13,50,5.9,M,
Teenage Mutant Ninja Turtles: Danger of the Ooze,2014,Adventure,0.13,,,E10+,
Army Men: Green Rogue,2001,Action,0.13,39,3.8,T,
Chessmaster,2004,Misc,0.13,79,9,E,
Brain Assist,2007,Misc,0.13,53,,E,
Freddi Fish: ABC under the sea,2008,Misc,0.13,,,,
Adventures to Go!,2008,Role-Playing,0.13,,,,
Monster Rancher DS,2008,Role-Playing,0.13,58,,E,
Peter Jackson's King Kong: The Official Game of the Movie,2005,Action,0.13,28,3.2,T,
Superman: The Man of Steel,2002,Action,0.13,44,6,T,
Kororinpa: Marble Mania,2006,Puzzle,0.13,69,8.7,E,
Ken to Mahou to Gakuen Mono. 3,2010,Role-Playing,0.13,,,,
The Flintstones: Bedrock Bowling,2000,Sports,0.13,,,,
NHL 2003,2002,Sports,0.13,79,6.3,E,
Chicken Run,2000,Adventure,0.13,75,6.2,E,
Injustice: Gods Among Us,2013,Fighting,0.13,,,,
Fatal Inertia,2007,Racing,0.13,61,4.2,E10+,
Over the Hedge: Hammy Goes Nuts!,2006,Platform,0.13,,,,
Phantom Brave: We Meet Again,2009,Role-Playing,0.13,76,7.1,T,
NHL 2K9,2008,Sports,0.13,70,,E10+,
Shining Force III,1997,Strategy,0.13,,,,
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,2011,Sports,0.13,,,,
Tales of the Heroes: Twin Brave,2012,Role-Playing,0.13,,,,
WWE Survivor Series,2004,Fighting,0.13,55,8.2,T,
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,2006,Action,0.13,,,,
Kung-Fu: High Impact,2011,Action,0.13,56,7.8,T,
Euro Truck Simulator 2,2012,Action,0.13,79,8.7,,
Bakugan: Battle Trainer,2010,Action,0.13,,,,
Super Robot Wars BX,2015,Action,0.13,,,,
Tomb Raider: Legend,2006,Action,0.13,82,7.2,T,
Nagano Winter Olympics '98,1997,Sports,0.13,,,,
I Spy: Universe,2010,Puzzle,0.13,,,E,
Ninjatown,2008,Strategy,0.13,80,8.3,E,
Warcraft III: Reign of Chaos,2002,Strategy,0.13,92,9.1,T,
Winning Post 5,2001,Sports,0.13,,,,
Frogger Beyond,2002,Platform,0.13,60,7.2,E,
Lord of the Rings: Tactics,2005,Strategy,0.13,,,,
RPG Maker II,2002,Role-Playing,0.13,65,8.8,E,
The Oregon Trail,2011,Simulation,0.13,,,,
Alone in the Dark: Inferno,2008,Adventure,0.13,69,5.6,M,
TRON: Evolution,2010,Action,0.13,,,E10+,
Gravity Rush Remastered,2015,Action,0.13,80,8.2,T,
Destruction Derby Arenas,2004,Racing,0.13,57,7.8,T,
Dengeki Bunko Fighting Climax,2014,Fighting,0.13,75,8.5,T,
MLB Power Pros 2008,2008,Sports,0.13,79,8.7,E,
Littlest Pet Shop: Spring,2009,Simulation,0.13,,,E,
The Unholy War,1998,Strategy,0.13,,,,
Cabela's Dangerous Hunts 2009,2008,Sports,0.13,42,,T,
Rumble Roses XX,2006,Fighting,0.13,62,6.6,M,
Total War: WARHAMMER,2016,Strategy,0.13,86,7.3,T,
Wantame Music Channel: Doko Demo Style,2007,Misc,0.13,,,,
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,2005,Platform,0.13,,,,
Shaman King: Power of Spirit,2004,Adventure,0.13,54,8.2,T,
Anno 1701: Dawn of Discovery,2007,Simulation,0.13,78,7.5,E,
Soccer Tsuku DS: World Challenge 2010,2010,Sports,0.13,,,,
The BIGS 2,2009,Sports,0.13,80,7.6,E10+,
LEGO Legends of Chima: Laval's Journey,2013,Adventure,0.13,64,6.6,E10+,
DreamWorks Super Star Kartz,2011,Racing,0.13,,,E,
Contra III: The Alien Wars,1992,Shooter,0.13,,,,
The Amazing Race,2010,Misc,0.13,,,E,
Dead to Rights: Reckoning,2005,Shooter,0.13,54,7.2,M,
Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,2011,Role-Playing,0.13,,,,
NBA 08,2007,Sports,0.13,63,6,E,
Hasbro Family Fun Pack,2015,Misc,0.13,,,E10+,
Amagami,2009,Adventure,0.13,,,,
